Study,Sourcelink,Webplotdigitizer,SAVE_lab,year,Country,Assay Type,Cell-type,Sera details long,Number of sera,N(female),Comparator antigen,OmicronVariant,Titre drop,Uncertainty,numerical Titre drop,TitersHAg,TitersOmicron,Log2HAg,Log2Omi,Titre drop Alpha,TitersAlpha,Titre drop Beta,TitersBeta,Titre drop Gamma,TitersGamma,Titre drop Delta,TitersDelta,Sera_details_no_time,time,Standardised_sera_names,standardise_encounters,vacc_type_het,vacc_type,vaccine_manufacturer,standardised_assay,standardised_pseudo,standardised_cell
Arien,https://www.medrxiv.org/content/10.1101/2021.12.23.21268316v1.full.pdf,n,n,2021.12.24,Belgium,Live-virus,Vero,Infection + 3*Pfizer,10,NA,WT,BA.1,20.4,,20.4,4822,236,,,,,,,,,,1159,Infection + 3*Pfizer,,Inf + 3*Pfizer,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Live-virus,Live-virus,Vero
Arien,https://www.medrxiv.org/content/10.1101/2021.12.23.21268316v1.full.pdf,n,n,2021.12.24,Belgium,Live-virus,Vero,2*Pfizer (28 days post 2nd dose),10,NA,WT,BA.1,13.1,,13.1,2157,165,,,,,,,,,,477,2*Pfizer,28d post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Live-virus,Live-virus,Vero
Arien,https://www.medrxiv.org/content/10.1101/2021.12.23.21268316v1.full.pdf,n,n,2021.12.24,Belgium,Live-virus,Vero,D614G Hospitalized,10,NA,WT,BA.1,>>21.7,>>,21.7,1086,50,,,,,,,,,,151,WT hospitalized,,WT acute,WT conv,WT conv,WT conv,WT conv,Live-virus,Live-virus,Vero
Balazs,doi: https://doi.org/10.1101/2021.12.14.21267755,y (Delta titers),n,2021,USA,Lentiviral Pseudotype,HEK293T-ACE2,1*Janssen + boost,8,5,WT,BA.1,>13,>,13,1201,,,,,,,,,,,,1*Janssen + boost,,J&J + mRNA,3,heterologous,heterologous,heterologous,Pseudovirus,Lentiviral,293T-ACE2
Balazs,doi: https://doi.org/10.1101/2021.12.14.21267755,y (Delta titers),n,2021,USA,Lentiviral Pseudotype,HEK293T-ACE2,1*Janssen  (less than 3 months),20,13,WT,BA.1,>1.4,>,1.4,42,,,,,,,,,,,,1*Janssen,<3m,J&J,2,j&j,j&j,j&j,Pseudovirus,Lentiviral,293T-ACE2
Balazs,doi: https://doi.org/10.1101/2021.12.14.21267755,y (Delta titers),n,2021,USA,Lentiviral Pseudotype,HEK293T-ACE2,1*Janssen.  (6-12 months),6,6,WT,BA.1,>>1.6,>>,1.6,33,,,,,,,,,,,,1*Janssen,6-12m,J&J,2,j&j,j&j,j&j,Pseudovirus,Lentiviral,293T-ACE2
Balazs,doi: https://doi.org/10.1101/2021.12.14.21267755,y (Delta titers),n,2021,USA,Lentiviral Pseudotype,HEK293T-ACE2,2*Moderna  (less than 3 months),24,17,WT,BA.1,>>43,>>,43,1362,,,,,,,,,,316.744.186,430,2*Moderna,<3m,2*Moderna,2,mRNA,mRNA,moderna,Pseudovirus,Lentiviral,293T-ACE2
Balazs,doi: https://doi.org/10.1101/2021.12.14.21267755,y (Delta titers),n,2021,USA,Lentiviral Pseudotype,HEK293T-ACE2,2*Moderna  (6-12 months),23,16,WT,BA.1,>>8,>>,8,192,,,,,,,,,,548.571.429,35,2*Moderna,6-12m,2*Moderna,2,mRNA,mRNA,moderna,Pseudovirus,Lentiviral,293T-ACE2
Balazs,doi: https://doi.org/10.1101/2021.12.14.21267755,y (Delta titers),n,2021,USA,Lentiviral Pseudotype,HEK293T-ACE2,2*Pfizer                                 (less than 3 months),21,13,WT,BA.1,>>122,>>,122,2402,,,,,,,,,,214.464.286,112,2*Pfizer,<3m,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,Lentiviral,293T-ACE2
Balazs,doi: https://doi.org/10.1101/2021.12.14.21267755,y (Delta titers),n,2021,USA,Lentiviral Pseudotype,HEK293T-ACE2,2*Pfizer                                 (6-12 months),33,22,WT,BA.1,>>3,>>,3,78,,,,,,,,,,278.571.429,28,2*Pfizer,6-12m,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,Lentiviral,293T-ACE2
Balazs,doi: https://doi.org/10.1101/2021.12.14.21267755,y (Delta titers),n,2021,USA,Lentiviral Pseudotype,HEK293T-ACE2,2*Moderna + boost,33,17,WT,BA.1,6,,6,2862,,,,,,,,,,194.959.128,1468,2*Moderna + boost,,2*Moderna + Moderna,3,mRNA,mRNA,moderna,Pseudovirus,Lentiviral,293T-ACE2
Balazs,doi: https://doi.org/10.1101/2021.12.14.21267755,y (Delta titers),n,2021,USA,Lentiviral Pseudotype,HEK293T-ACE2,2*Pfizer + boost ,30,19,WT,BA.1,4,,4,2219,,,,,,,,,,198.125,1120,2*Pfizer + boost ,,2*Pfizer + Pfizer,3,mRNA,mRNA,pfizer,Pseudovirus,Lentiviral,293T-ACE2
Balazs,doi: https://doi.org/10.1101/2021.12.14.21267755,y (Delta titers),n,2021,USA,Lentiviral Pseudotype,HEK293T-ACE2,2*Moderna + infection  (6-12 months),8,3,WT,BA.1,>9,>,9,904,,,,,,,,,,286.075.949,316,2*Moderna + infection,6-12m,2*Moderna + Inf,vacc+inf,vacc+inf,vacc+inf,vacc+inf,Pseudovirus,Lentiviral,293T-ACE2
Balazs,doi: https://doi.org/10.1101/2021.12.14.21267755,y (Delta titers),n,2021,USA,Lentiviral Pseudotype,HEK293T-ACE2,2*Pfizer + infection                             (6-12 months),27,18,WT,BA.1,>12,>,12,947,,,,,,,,,,39.789.916,238,2*Pfizer + infection,6-12m,2*Pfizer + Inf,vacc+inf,vacc+inf,vacc+inf,vacc+inf,Pseudovirus,Lentiviral,293T-ACE2
