Antigen,Color
WA1,#393b79
WT,#393b79
D614G,#393b79
B.1.1.7,#637939
Alpha,#637939
B.1.1.7_E484K,#637939
B.1.351,#e7ba52
Beta,#e7ba52
B.1.617.2 (AY.1)_K417N,#d18652
B.1.617.2 (AY.2)_K417N,#d18652
B.1.617.2,#d18652
Delta,#d18652
B.1.617.2 (AY.3)_E484Q,#d18652
B.1.617.2_K417N,#d18652
B.1.429,#9B9FD9
P.1,#7b4173
P.1-LV,#7b4173
P.1-PV,#7b4173
P.1-SV,#7b4173
B.1.526_E484K,#9ab370
B.1.617.1,#ad494a
C.37,#79c9c9
B.1.621,#0096ad
B.1.1.529,#EF3737
B.1.1.529-LV,#EF3737
B.1.1.529-PV,#EF3737
B.1.1.529-SV,#EF3737
BA.1,#e11212
BA.2,#d10fa2
BA.1.1,#7f0a0a
BA.2.12.1,#ef9bd0
BA.2.13,#ef9bd0
BA.2_L452Q,#ef9bd0
BA.2_S749L,#ef9bd0
BA.3,#f37487
BA.4,#f25b5b
BA.5,#f25b5b
BA.4/5,#f25b5b
BA.2.75,#c52de9
